year,month,day,hour,PM2.5,temperature,pressure,rain,wind_direction,wind_speed
2013,3,1,0,4,-0.7,1023,0,NNW,4.4
2013,3,1,1,8,-1.1,1023.2,0,N,4.7
2013,3,1,2,7,-1.1,1023.5,0,NNW,5.6
2013,3,1,3,6,-1.4,1024.5,0,NW,3.1
2013,3,1,4,3,-2,1025.2,0,N,2
2013,3,1,5,5,-2.2,1025.6,0,N,3.7
2013,3,1,6,3,-2.6,1026.5,0,NNE,2.5
2013,3,1,7,3,-1.6,1027.4,0,NNW,3.8
2013,3,1,8,3,0.1,1028.3,0,NNW,4.1
2013,3,1,9,3,1.2,1028.5,0,N,2.6
2013,3,1,10,3,1.9,1028.2,0,NNW,3.6
2013,3,1,11,3,2.9,1028.2,0,N,3.7
2013,3,1,12,3,3.9,1027.3,0,NNW,5.1
2013,3,1,13,3,5.3,1026.2,0,NW,4.3
2013,3,1,14,6,6,1025.9,0,NW,4.4
2013,3,1,15,8,6.2,1025.7,0,NNE,2.8
2013,3,1,16,9,5.9,1025.6,0,NNW,3.9
2013,3,1,17,10,4.3,1026.3,0,NNE,2.8
2013,3,1,18,11,3.1,1027.4,0,NNE,2.1
2013,3,1,19,8,2.3,1028.3,0,N,2.8
2013,3,1,20,11,1.7,1029.1,0,N,2.1
2013,3,1,21,12,0.6,1030.1,0,ENE,0.8
2013,3,1,22,15,0.9,1030.5,0,ENE,1.8
2013,3,1,23,24,-0.2,1030.5,0,ENE,1.4
2013,3,2,0,22,-0.4,1031,0,ENE,1.4
2013,3,2,1,14,-1,1031.3,0,NNE,1.1
2013,3,2,2,13,-1.5,1030.9,0,E,1.7
2013,3,2,3,3,-1.4,1030.6,0,NNE,1.4
2013,3,2,4,3,-1.5,1030.8,0,NNW,0.9
2013,3,2,5,9,-1.8,1030.1,0,NNE,2
2013,3,2,6,4,-2.5,1029.6,0,NW,0.7
2013,3,2,7,3,-1.7,1029.8,0,NE,1.2
2013,3,2,8,3,-0.4,1029.6,0,NE,1.8
2013,3,2,9,10,0.6,1029.7,0,NE,1.7
2013,3,2,10,11,1.7,1028.9,0,W,1.6
2013,3,2,11,18,2.2,1028.2,0,SSW,3.1
2013,3,2,12,26,2.7,1027.3,0,WSW,2.7
2013,3,2,13,25,3.3,1025.7,0,W,1.5
2013,3,2,14,26,3.8,1024.8,0,SE,1.3
2013,3,2,15,37,3.9,1024.1,0,WNW,1.2
